"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CBP_vs_eGFP","CBP_vs_eGFP","GO:0099572","postsynaptic specialization","11/95","486/28585",6.62407796608204e-07,0.000145067307457197,9.55261769845516e-05,"Dbn1/Dmtn/Epb41l1/Grin1/Nlgn2/Nrgn/Pip5k1c/Prkcg/Rnf112/Srcin1/Syp",11
"2","CBP_vs_eGFP","CBP_vs_eGFP","GO:0032279","asymmetric synapse","10/95","462/28585",3.27467679681417e-06,0.000239051406167435,0.000157414288127558,"Dbn1/Dmtn/Epb41l1/Grin1/Nrgn/Pip5k1c/Prkcg/Rnf112/Srcin1/Syp",10
"3","CBP_vs_eGFP","CBP_vs_eGFP","GO:0150034","distal axon","9/95","397/28585",7.20341087782606e-06,0.000373462374606415,0.000245923313247195,"Crmp1/Dbn1/Grin1/Hap1/Lrp1/Prkcg/Ptprn/Syp/Tnk2",9
"4","CBP_vs_eGFP","CBP_vs_eGFP","GO:0043209","myelin sheath","7/95","218/28585",8.52653823302318e-06,0.000373462374606415,0.000245923313247195,"Atp5a1/Ckb/Cntn2/Dnm1/Igsf8/Plp1/Uchl1",7
"5","CBP_vs_eGFP","CBP_vs_eGFP","GO:0060076","excitatory synapse","5/95","99/28585",2.03720056654789e-05,0.000743578206789981,0.000489642943187827,"Dbn1/Grin1/Nlgn2/Slc17a7/Syp",5
"6","CBP_vs_eGFP","CBP_vs_eGFP","GO:0030136","clathrin-coated vesicle","5/95","119/28585",4.93703360637662e-05,0.00154458622828069,0.00101710316402045,"Cpne6/Lrp1/Nrgn/Syp/Tnk2",5
"7","CBP_vs_eGFP","CBP_vs_eGFP","GO:0030427","site of polarized growth","6/95","221/28585",9.77841765786148e-05,0.00218353676713545,0.00143784925305242,"Crmp1/Dbn1/Grin1/Hap1/Lrp1/Tnk2",6
"8","CBP_vs_eGFP","CBP_vs_eGFP","GO:0044306","neuron projection terminus","6/95","224/28585",0.000105279529313282,0.00218353676713545,0.00143784925305242,"Grin1/Hap1/Prkcg/Ptprn/Syp/Uchl1",6
"9","CBP_vs_eGFP","CBP_vs_eGFP","GO:0099524","postsynaptic cytosol","3/95","28/28585",0.000109675362732831,0.00218353676713545,0.00143784925305242,"Dbn1/Hap1/Prkcg",3
"10","CBP_vs_eGFP","CBP_vs_eGFP","GO:0008021","synaptic vesicle","6/95","258/28585",0.00022660607753504,0.00390273307038762,0.00256993237511706,"Dnm1/Grin1/Rnf112/Slc17a7/Sv2a/Syp",6
"11","CBP_vs_eGFP","CBP_vs_eGFP","GO:0008328","ionotropic glutamate receptor complex","3/95","44/28585",0.000426641380472678,0.00583965389521978,0.00384538612662874,"Cpt1c/Grin1/Nrn1",3
"12","CBP_vs_eGFP","CBP_vs_eGFP","GO:0098878","neurotransmitter receptor complex","3/95","46/28585",0.000486662628727952,0.00626935974655421,0.00412834551924022,"Cpt1c/Grin1/Nrn1",3
"13","CBP_vs_eGFP","CBP_vs_eGFP","GO:0043679","axon terminus","5/95","202/28585",0.000580493014439452,0.00675927919578252,0.00445095529835235,"Grin1/Hap1/Prkcg/Ptprn/Syp",5
"14","CBP_vs_eGFP","CBP_vs_eGFP","GO:0044309","neuron spine","5/95","212/28585",0.000721859578450557,0.00741750644758281,0.00488439501715378,"Dbn1/Grin1/Nrgn/Sez6/Syp",5
"15","CBP_vs_eGFP","CBP_vs_eGFP","GO:0048786","presynaptic active zone","4/95","122/28585",0.000745137634003752,0.00741750644758281,0.00488439501715378,"Grin1/Slc17a7/Sv2a/Syp",4
"16","CBP_vs_eGFP","CBP_vs_eGFP","GO:0098835","presynaptic endocytic zone membrane","2/95","14/28585",0.000969014448557434,0.00872617609989486,0.00574614816479498,"Dnm1/Pip5k1c",2
"17","CBP_vs_eGFP","CBP_vs_eGFP","GO:0098982","GABA-ergic synapse","4/95","134/28585",0.00105683626811826,0.00872617609989486,0.00574614816479498,"Hap1/Nlgn2/Slc6a1/Sv2a",4
"18","CBP_vs_eGFP","CBP_vs_eGFP","GO:0045211","postsynaptic membrane","6/95","348/28585",0.00109174163781667,0.00872617609989486,0.00574614816479498,"Cntn2/Dbn1/Grin1/Nlgn2/Nrgn/Slc6a1",6
"19","CBP_vs_eGFP","CBP_vs_eGFP","GO:0001917","photoreceptor inner segment","3/95","61/28585",0.00111301183281844,0.00872617609989486,0.00574614816479498,"Bsg/Crocc/Dnm1",3
"20","CBP_vs_eGFP","CBP_vs_eGFP","GO:0071004","U2-type prespliceosome","2/95","15/28585",0.00111567548309158,0.00872617609989486,0.00574614816479498,"Luc7l3/Snrnp70",2
"21","CBP_vs_eGFP","CBP_vs_eGFP","GO:0071010","prespliceosome","2/95","15/28585",0.00111567548309158,0.00872617609989486,0.00574614816479498,"Luc7l3/Snrnp70",2
